Issue Type,Issue key,Issue id,Summary,Reporter,Reporter Id,Status,Custom field (Start date),Custom field (End date),Due date,Custom field (Story Points),Assignee,Assignee Id,Sprint,Sprint,Custom field (Story point estimate),Custom field (Work category),Status Category Changed,Σ Remaining Estimate,Σ Original Estimate,Σ Time Spent,Labels,Custom field (End Date),Custom field (Orden  de Compra 1),Custom field (Moneda de pago 1),Custom field (Proveedor 1),Custom field (Orden de Compra 2),Custom field (Moneda de pago 2),Custom field (Proveedor 2),Custom field (Orden de Compra 3),Custom field (Moneda de pago 3),Custom field (Proveedor 3),Custom field (Orden de Compra 4),Custom field (Moneda de pago 4),Custom field (Proveedor 4),Custom field (Orden de Compra 5),Custom field (Proveedor 5),Custom field (Moneda de pago 5),Custom field (Orden de Compra 6),Custom field (Moneda de pago 6),Custom field (CAR Padre 6),Custom field (Proveedor 6),Custom field (CAR Padre 2),Custom field (CAR Padre 3),Custom field (CAR Padre 4),Custom field (CAR Padre 5),Custom field (Código OPEX 1),Custom field (Código OPEX 2),Custom field (Código OPEX 3),Custom field (Código OPEX 4),Custom field (Código OPEX 5),Custom field (Código OPEX 6),Custom field (CAR Padre 1)
Spike,SMP-4219,197418,Revisar SMP-Service para contemplar Recargas fuera de EPIN,Alberto Espinola,5eb9c2b27dab3a0bb459e3a4,Finalizada,,,16/Oct/25 6:16 PM,1.0,Ricardo Escurra,712020:21f0cc60-2242-4b48-bc3e-b2f6ab8e4697,Sprint 192025-SMP,Sprint 202025-SMP,,,16/Oct/25 2:16 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Task,SMP-4214,196896,Agregar segmentación Latam Pre a los paquetes NBO Ilimitado con TT,"gustavo.garcia@tigo,net.py",641862457222b08f3e720675,Finalizada,,,10/Oct/25 11:51 AM,1.0,Claudio Cabrera,641863255534b0bf744137c0,Sprint 192025-SMP,,,,10/Oct/25 7:51 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Story,SMP-4196,196063,Habilitar Paquetes Ilimitados sin TT en Tetris,Alberto Espinola,5eb9c2b27dab3a0bb459e3a4,Finalizada,,,07/Oct/25 1:09 PM,1.0,Analiz Rodriguez,712020:23ce5bca-cd95-41f4-ade9-f92d71f84d4a,Sprint 192025-SMP,,,,07/Oct/25 9:09 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Release,SMP-4195,196059,[ETEC] Ajustar configuración de paquetes,Alberto Espinola,5eb9c2b27dab3a0bb459e3a4,Finalizada,06/Oct/25 12:00 AM,,13/Oct/25 1:45 PM,0.0,Alberto Espinola,5eb9c2b27dab3a0bb459e3a4,Sprint 192025-SMP,,,,13/Oct/25 9:45 AM,,,,tecnico,13/Oct/25 9:45 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Story,SMP-4192,195920,Deshabilitar Paquetes Roaming de Procesadoras Digitales,Alberto Espinola,5eb9c2b27dab3a0bb459e3a4,Finalizada,,,07/Oct/25 1:32 PM,1.0,Claudio Cabrera,641863255534b0bf744137c0,Sprint 192025-SMP,,,,07/Oct/25 9:32 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Task,SMP-4186,193818,Seguimiento Reunión Técnica Tigo Flex,Alberto Espinola,5eb9c2b27dab3a0bb459e3a4,Finalizada,,,10/Oct/25 12:35 PM,1.0,Analiz Rodriguez,712020:23ce5bca-cd95-41f4-ade9-f92d71f84d4a,Sprint 192025-SMP,,,,10/Oct/25 8:35 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Task,SMP-4185,193812,Seguimiento Trazado de Líneas - Trafico de Tethering,Alberto Espinola,5eb9c2b27dab3a0bb459e3a4,Finalizada,,,09/Oct/25 12:39 PM,1.0,Analiz Rodriguez,712020:23ce5bca-cd95-41f4-ade9-f92d71f84d4a,Sprint 192025-SMP,,,,09/Oct/25 8:39 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Task,SMP-4184,193761,Tareas de Preparación para de Implementación - Ajuste Segmentación Roaming,Alberto Espinola,5eb9c2b27dab3a0bb459e3a4,Finalizada,,,09/Oct/25 8:19 PM,1.0,Claudio Cabrera,641863255534b0bf744137c0,Sprint 192025-SMP,,,,09/Oct/25 4:19 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Story,SMP-4183,193758,Prueba - Ajuste de Segmentación Roaming - Compatibilidad Latam Pre,"gustavo.garcia@tigo,net.py",641862457222b08f3e720675,Finalizada,,,08/Oct/25 2:41 PM,2.0,omar.ortiz,64188aa257f0c028e2f5d181,Sprint 192025-SMP,,,,08/Oct/25 10:42 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Story,SMP-4182,193620,Ajustar Servicio Venta de Paquetes desde Terceros - Ordenar Lista ProductCatalog,Alberto Espinola,5eb9c2b27dab3a0bb459e3a4,Finalizada,,,08/Oct/25 7:25 PM,3.0,Ricardo Escurra,712020:21f0cc60-2242-4b48-bc3e-b2f6ab8e4697,Sprint 192025-SMP,,,,08/Oct/25 3:25 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
